category	selector	css_definitions	runtime_references
u-ext	.u-ext-106	1	1
u-ext	.u-ext-38	1	1
u-ext	.u-ext-39	1	1
u-ext	.u-ext-40	1	2
u-ext	.u-ext-41	1	1
u-ext	.u-ext-42	1	1
u-ext	.u-ext-43	1	1
u-ext	.u-ext-44	1	1
u-ext	.u-ext-45	1	1
u-ext	.u-ext-46	1	1
u-ext	.u-ext-47	1	1
u-ext	.u-ext-48	1	1
u-ext	.u-ext-49	1	1
u-ext	.u-ext-50	1	1
u-ext	.u-ext-51	1	1
u-ext	.u-ext-52	1	1
u-ext	.u-ext-53	1	1
legacy-component	.attendance-roster-row	0	0
legacy-component	.timeline-edit-row	0	3
legacy-component	.pk-kicker-row	0	0
legacy-component	.field-roster-chip	0	0
legacy-component	.field-event-item	0	0
legacy-component	.filmstrip-card	0	0
